date_time,Número total de tarjetas de débito,Número de tarjetas de débito con chip,Número de tarjetas de débito sin chip,Transacciones de consumos totales con tarjeta de débito,Transacciones de consumos con tarjeta de débito con chip,Transacciones de consumos con tarjeta de débito sin chip,Facturación total con tarjeta de débito,Facturación con tarjeta de débito con chip,Facturación con tarjeta de débito sin chip
2015-01-01,4999873.999999998,2843536.0000000005,2156338,1615699,1367879.9999999995,247819.0000000001,67025998.99999997,56932232.999999985,10093765.999999996
2015-02-01,5057468.999999998,2938007,2119462,1446346.9999999998,1231487.9999999998,214858.99999999997,59240238.00000001,50418710,8821528
2015-03-01,5114526.000000001,3097077.0000000005,2017449.0000000002,1790367.0000000002,1571867.0000000002,218500,75055716,65802569,9253147
2015-04-01,5150020.999999999,3208601,1941420.0000000005,1897806,1729663.0000000007,168143,81382534.99999997,73860746.99999999,7521788.000000001
2015-05-01,5213484,3334006,1879478,2088578.0000000002,1948962.0000000005,139616,87787470,81569483.00000004,6217987
2015-06-01,5057696,3487087,1570609,2031049.0000000007,1918176,112873.00000000003,80678125,75854286,4823839.000000001
2015-07-01,4976988.000000001,3625972.9999999995,1351015.0000000002,2007854,1934805,73048.99999999999,79495033,76430816.00000001,3064217
2015-08-01,5079901.000000001,3787758.9999999995,1292142,2179480,2130006,49474.00000000001,89733802.99999999,87655352,2078451.0000000002
2015-09-01,5105002,3844148.9999999986,1260853,2027662,1993384,34278.00000000001,81580254.00000001,80171950,1408304
2015-10-01,5045876,3962384.0000000005,1083492,2015570,1988731.0000000002,26839.000000000004,79703578.99999999,72450989,7252589.999999996
2015-11-01,4815953.000000001,4027877,788075.9999999998,2098396,2076497,21899,84396320.99999999,83436788.00000001,959533.0000000001
2015-12-01,4799256.000000001,4120709,678547.0000000001,2502557.0000000005,2479849,22708,109439369,108377037,1062332
2016-01-01,4802392,4198664,603728,2350672,2339741.3,10930.7,88081527.00000003,87112719.7,968807.3
2016-02-01,4875285.000000002,4270523,604762.0000000001,2159129.9999999995,2148973,10156.999999999998,80859760.3,80430298.70000002,429461.5999999999
2016-03-01,4955486,4424448.000000001,531038,2346237,2339268.9999999995,6967.999999999999,86912040.30000001,86642277.10000001,269763.19999999995
2016-04-01,4996734.999999999,4472562.999999999,524171.99999999994,2422245.0000000005,2414073.9999999995,8171,98693205.6,98354270.89999999,338934.7
2016-05-01,5068962,4553049,515912.99999999994,2567169,2559384.9999999995,7783.999999999999,96189913.30000003,95888556.39999999,301356.8999999999
2016-06-01,5183625.000000001,4667493.999999998,516130.9999999999,2354666.0000000005,2347632,7034,83231033.4,82966880.6,264152.8
2016-07-01,5239069,4726324,512745,2454336.0000000005,2447109,7227,90470815.2,90186983.3,283831.9
2016-08-01,5301748,4790050,511698,2617476.999999999,2609572,7905,95247349.7,94960972.59999998,286377.1
2016-09-01,5358890,4853572,505317.99999999994,2434330,2427027.0000000005,7302.999999999999,93056975.2,92783511.80000001,273463.39999999997
2016-10-01,5413925,4927757,486168.0000000001,2510465,2509830.0000000005,635,95507389.1,95471399.2,35989.899999999994
2016-11-01,5406922.000000001,4976016.999999999,430905.00000000006,2499181.9999999995,2492391,6791,96752074.91999996,96492723.11000001,259351.81
2016-12-01,5391362.000000001,5013991,377371,3618094.9999999995,3617875.9999999995,219.00000000000006,156180662.25,156169008.54,11653.710000000003
2017-01-01,5353300.999999999,380240.00000000006,4973061,2765673,2765554.0000000005,118.99999999999997,102637076.07421874,75240.72,102561836.34000002
2017-02-01,5418728.999999999,379693,5039035.999999999,2481614,2481550,63.99999999999999,92335964.69921875,207023.94,92128941.21
2017-03-01,5453432,382657,5070775.000000001,2965797.9999999995,2965642.9999999995,155,105524967.46875,253248.33,105271720.69000001
2017-04-01,5508383,366282,5142101,3058062.000000001,3058016,46,120901618.2734375,314647.45,120586969.61000001
2017-05-01,5474178.999999999,284491,5189688.000000001,3119918,3119897,20.999999999999996,114479048.01562501,612.55,114478434.48000002
2017-06-01,5532500.999999999,286726.00000000006,5245775,2878831.0000000005,2878777,54.00000000000001,102630403.24999999,49253.86,102581148.26
2017-07-01,5591296,273359,5317937.000000001,3070460.9999999995,3070373,88,111969797.515625,3656.6399999999994,111966140.41000001
2017-08-01,5526078,270808.99999999994,5255269,3182313.000000001,3182240.0000000005,73,114023398.14062499,7232.87,114016166.89000002
2017-09-01,5562039.999999999,273461,5288578.999999999,3054355,3054311,44,110779131.484375,2133.6499999999996,110776999.22
2017-10-01,5580415.000000002,251007,5329408,3151540.000000001,3151481,59,109572124.39062501,2496.0900000000006,109569627.85
2017-11-01,5687357.000000001,255789.00000000006,5431567.999999999,3204171.9999999995,3204118.999999999,52.99999999999999,115976184.31249997,6226.54,115969958.86999997
2017-12-01,5778966.999999999,258133.99999999997,5520833,4542014.000000001,4541969,45,183763342.31249994,1908.11,183761433.66000003
2018-01-01,5802602.999999999,5548456,254147,3520199.999999999,3520199.9999999995,0,119379754.62500001,119379754.55749997,0
2018-02-01,5866765.999999998,5608942.000000001,257824,3149141.0000000005,3149141,0,106759387.10156249,106759386.655,0
2018-03-01,6035363,5774494,260868.99999999997,3625326.000000001,3625326.000000001,0,126882938.74999999,126882941.2925,0
2018-04-01,6073352.999999999,5806299.000000001,267053.99999999994,3901353.0000000005,3901353,0,144661147.82812503,144661145.59500003,0
2018-05-01,6138503.000000002,5869857.999999999,268645.00000000006,3903704,3903704,0,132463464.18750003,132463465.0075,0
2018-06-01,6220967.999999999,5944028,276939.99999999994,3719312,3719312,0,126840817.046875,126840818.58250001,0
2018-07-01,6303736,6019378,284358,3924131.9999999995,3924131.9999999995,0,131068557.421875,131068557.315,0
2018-08-01,6447048,6153983.000000001,293065,4002513.0000000005,4002513.000000001,0,135237951.921875,135237951.4575,0
2018-09-01,6545820.250000002,6240759.312,305061,3853916.9999999995,3853917,0,130386127.125,130386127.55000001,0
2018-10-01,6611122,6293656.999999999,317465,3937818,3937818,0,126385220.421875,126385220.64000002,0
2018-11-01,6705660,6376702.999999999,328957,3971104,3971104.0000000005,0,133507294.5625,133507295.33999999,0
2018-12-01,6771199.999999999,6432159,339041,5427715,5427715,0,205288079.96874994,205288079.15999997,0
2019-01-01,6855555,6509568,345987.00000000006,4413222.999999999,4413223,0,139115175.62500003,139115174.47,0
2019-02-01,6897764.000000002,6538809,358955,4012600,4012600,0,125937914.5078125,125937915.48,0
2019-03-01,7015305.000000001,6644624.000000001,370681.00000000006,4573437.000000001,4573437.000000001,0,146755949.67187497,146755949.1,0
2019-04-01,7107277,6720965.000000001,386311.99999999994,5002678,5002678,0,166081458.70312503,166081458.67999998,0
2019-05-01,7215278.999999999,6813830.999999999,401448,4836767.000000001,4836767,0,153100989.85937503,153100989.28,0
2019-06-01,7290207,6881345,408862,4683792,4683791,0,146440779.203125,146440778.76999998,0
2019-07-01,7327525,6941543.000000001,385982.00000000006,4849559,4849559,0,146085080.390625,146085079.49,0
2019-08-01,7437791,7029147.999999998,408642.99999999994,5049488,5049488,0,156083170.95312503,156083169.3,0
2019-09-01,7520965,7096194.999999999,424770,5119369.000000001,5119368,1,152426873.46875003,152426871.64000002,0
2019-10-01,7612537.000000001,7163545.000000001,448992.00000000006,4982926.000000001,4982926,0,142102194.04687497,142102195.74,0
2019-11-01,7699280,7232810.999999998,466468.9999999999,5169198,5169197.999999999,0,153871501.26562503,153871501.3,0
2019-12-01,7755368.999999999,7265623,489746.00000000006,7108585,7108552,33,238133012.84375,238131506.40000004,1503
2020-01-01,7844290.000000001,7340276.999999998,504012.99999999994,5585333,5585333.000000001,0,161715308.23437503,161715308.42000002,0
2020-02-01,7934900,7410935,523965.00000000006,5334742,5334741.999999999,0,151663576.765625,151663578.26,0
2020-03-01,7972487.000000001,7432494.000000002,539993.0000000001,4415435.000000001,4415435,0,145045893.9140625,145045894,0
2020-04-01,7957156,7411983.000000001,545172.9999999999,2762162,2762162.0000000005,0,110220055.94531251,110220055.64000002,0
2020-05-01,7950347.000000001,7396093,554254,3493450,3493450,0,128771271.28125,128771268.66999999,0
2020-06-01,8061159,7495620,565539,4666587.000000001,4666553,34.00000000000001,160981452.4296875,160980782.6,668.0599975585939
2020-07-01,8123890,7537093.999999999,586796,5016771.999999999,5016750,22,164305237.93566892,164304082.54,1154.92
